Stn_No,Lat,Long
56374,30.03,101.58
56376,29.21,102.41
56378,29.14,102.21
56380,29.55,103.22
56381,30.01,103.31
56382,29.44,103.36
56383,29.5,103.5
56384,29.36,103.29
56385,29.31,103.2
56386,29.34,103.45
56387,29.14,103.16
56389,29.12,103.57
56390,29.4,104.04
56393,29.46,104.51
56394,29.27,104.26
56395,29.31,104.4
56396,29.21,104.46
56399,29.11,104.59
56434,28.39,97.28
56441,28.43,99.17
56443,28.56,99.48
56444,28.29,98.55
56459,27.56,101.16
56462,29.0,101.3
56473,28.57,102.46
56474,28.33,102.1
56475,28.39,102.31
56478,28.18,102.26
56479,28.0,102.51
56480,28.5,103.33
56483,28.36,103.57
56485,28.16,103.35
56487,28.2,103.08
56489,28.14,103.38
56490,28.57,103.54
56492,28.48,104.36
56493,28.51,104.58
56496,28.19,105.14
56497,28.04,104.15
56499,28.23,104.47
56533,27.45,98.4
56543,27.5,99.42
56548,27.1,99.17
56565,27.26,101.31
56567,27.18,100.51
56569,27.25,102.11
56571,27.54,102.16
56575,27.22,102.33
56578,27.04,102.45
56580,27.43,102.48
56582,27.45,103.54
56584,27.42,103.15
56585,27.11,103.32
56586,27.21,103.43
56592,28.26,104.31
56593,28.35,104.55
56594,27.38,104.03
56595,27.26,104.52
56596,27.51,105.03
56598,27.08,104.44
56641,26.54,98.52
56643,25.52,98.51
56645,26.25,99.25
56646,26.32,99.55
56649,26.07,99.58
56651,26.52,100.13
56652,26.41,100.45
56654,26.35,100.11
56664,26.38,101.16
56665,26.55,101.32
56666,26.35,101.43
56669,26.03,101.4
56670,26.54,102.07
56671,26.39,102.15
56673,26.55,102.55
56675,26.39,102.35
56684,26.25,103.17
56688,26.06,103.1
56691,26.52,104.17
56693,26.35,104.52
56697,26.13,104.05
56739,25.01,98.3
56741,25.59,98.49
56742,25.54,99.22
56745,25.41,99.57
56746,25.28,99.31
56748,25.07,99.1
56751,25.42,100.11
56752,25.5,100.34
56755,25.21,100.29
56756,25.29,100.35
56757,25.16,100.17
56761,25.43,101.19
56763,25.44,101.52
56764,25.32,101.14
56766,25.2,101.31
56767,25.11,101.17
56768,25.01,101.32
56772,25.14,102.3
56774,25.32,102.25
56775,25.35,102.26
56777,25.09,102.04
56778,25.01,102.41
56781,25.33,103.16
56782,25.25,103.33
56783,25.3,103.48
56785,25.2,103.02
56786,25.35,103.5
56788,25.02,103.4
56790,25.4,104.15
56792,25.47,104.58
56793,25.47,104.37
56835,24.22,97.57
56836,24.42,97.57
56838,24.01,97.51
56839,24.04,98.58
56840,24.49,98.18
56841,24.36,98.41
56842,24.44,99.11
